time_s,u,y,cr,pe,rmse
0.0,-0.0,-0.001406,-0.164841,0.076108,0
0.001017,-0.0,-0.001406,-0.274719,0.075395,0
0.002017,-0.0,-0.001406,-0.384613,0.074026,0
0.003016,-0.0,-0.001406,-0.274719,0.072077,0
0.004013,-0.0,-0.001406,-0.714279,0.069623,0
0.005017,-0.0,-0.001406,-0.494507,0.066734,0
0.006015,-0.0,-0.001406,-0.494507,0.063481,0
0.007017,-0.0,-0.001406,-0.274719,0.059928,0
0.008013,-0.0,-0.001406,-0.054947,0.05614,0
0.009015,-0.0,-0.001406,-0.274719,0.052175,0
0.010015,-0.0,-0.001406,-0.714279,0.048087,0
0.011017,-0.0,-0.001406,-0.164841,0.043928,0
0.012016,-0.0,-0.001406,-0.274719,0.039745,0
0.013014,-0.0,-0.001406,-0.384613,0.03558,0
0.014014,-0.0,-0.001406,-0.494507,0.03147,0
0.015015,-0.0,-0.001406,-0.164841,0.027452,0
0.016016,-0.0,-0.001406,-0.164841,0.023553,0
0.017015,-0.0,-0.001406,-0.164841,0.019801,0
0.018014,-0.0,-0.001024,-0.714279,0.016216,0
0.019014,-0.0,-0.001024,-0.274719,0.012819,0
0.020012,-0.0,-0.001024,-0.384613,0.009623,0
0.021013,-0.0,-0.001024,-0.714279,0.006639,0
0.022008,-0.0,-0.001024,-0.494507,0.003877,0
0.023013,-0.0,-0.001024,-0.384613,0.001342,0
0.024012,-0.0,-0.001024,-0.384613,-0.000965,0
0.025014,-0.0,-0.001024,-0.164841,-0.003041,0
0.02601,-0.0,-0.001024,-0.384613,-0.004891,0
0.027009,-0.0,-0.001024,-0.384613,-0.006516,0
0.02801,-0.0,-0.001024,-0.384613,-0.007924,0
0.029007,-0.0,-0.001024,-0.494507,-0.009122,0
0.030011,-0.0,-0.001024,-0.164841,-0.010117,0
0.031008,-0.0,-0.001024,-0.384613,-0.01092,0
0.032008,-0.0,-0.001024,-0.384613,-0.011542,0
0.033007,-0.0,-0.001024,-0.604401,-0.011993,0
0.034006,-0.0,-0.000643,-0.274719,-0.012287,0
0.035008,-0.0,-0.000643,-0.714279,-0.012434,0
0.036006,-0.0,-0.000643,-0.274719,-0.012448,0
0.037005,-0.0,-0.000643,-0.384613,-0.012341,0
0.038011,-0.0,-0.000643,-0.604401,-0.012126,0
0.039011,-0.0,-0.000643,-0.384613,-0.011815,0
0.040007,-0.0,-0.000261,-0.494507,-0.01142,0
0.041015,-0.0,-0.000261,-0.384613,-0.010953,0
0.042007,-0.0,-0.000261,-0.164841,-0.010426,0
0.043019,-0.0,-0.000261,-0.384613,-0.009849,0
0.044006,-0.0,0.00012,-0.494507,-0.009232,0
0.045014,-0.0,0.00012,-0.274719,-0.008586,0
0.046009,-0.0,0.00012,-0.494507,-0.007919,0
0.047005,-0.0,0.00012,-0.384613,-0.00724,0
0.048005,-0.0,0.000502,-0.164841,-0.006556,0
0.04901,-0.0,0.000502,-0.164841,-0.005875,0
0.050017,-0.0,0.000883,-0.384613,-0.005202,0
0.051002,-0.0,0.000883,-0.384613,-0.004543,0
0.052006,-0.0,0.000883,-0.274719,-0.003904,0
0.053007,-0.0,0.001265,-0.164841,-0.003288,0
0.054015,-0.0,0.001265,-0.384613,-0.0027,0
0.055018,-0.0,0.001265,-0.384613,-0.002142,0
0.056016,-0.0,0.001646,-0.494507,-0.001616,0
0.057009,-0.0,0.001646,-0.384613,-0.001125,0
0.058007,-0.0,0.001646,-0.274719,-0.000671,0
0.059006,-0.0,0.001646,-0.384613,-0.000253,0
0.060013,-0.0,0.001646,-0.384613,0.000127,0
0.06101,-0.0,0.001646,-0.384613,0.00047,0
0.062015,-0.0,0.001646,-0.164841,0.000775,0
0.063017,-0.0,0.001646,-0.164841,0.001044,0
0.064015,-0.0,0.001265,-0.164841,0.001277,0
0.065016,-0.0,0.001265,-0.274719,0.001476,0
0.066016,-0.0,0.001265,-0.164841,0.001642,0
0.067014,-0.0,0.001265,-0.384613,0.001775,0
0.068006,-0.0,0.001265,-0.164841,0.00188,0
0.069005,-0.0,0.000883,-0.494507,0.001956,0
0.070013,-0.0,0.000883,-0.274719,0.002006,0
0.071014,-0.0,0.000883,-0.604401,0.002032,0
0.072016,-0.0,0.000883,-0.054947,0.002036,0
0.073016,-0.0,0.000883,-0.384613,0.00202,0
0.07401,-0.0,0.000883,-0.164841,0.001986,0
0.075013,-0.0,0.000883,-0.164841,0.001937,0
0.076011,-0.0,0.000883,0.054947,0.001873,0
0.077013,-0.0,0.000883,-0.384613,0.001798,0
0.078012,-0.0,0.000883,-0.164841,0.001712,0
0.079014,-0.0,0.001265,-0.274719,0.001619,0
0.080018,-0.0,0.001265,-0.164841,0.001518,0
0.081015,-0.0,0.001265,-0.384613,0.001413,0
0.082015,-0.0,0.001265,-0.054947,0.001304,0
0.083015,-0.0,0.001265,-0.054947,0.001193,0
0.084018,-0.0,0.001265,-0.164841,0.001081,0
0.085019,-0.0,0.001265,-0.164841,0.00097,0
0.086015,-0.0,0.000883,-0.164841,0.00086,0
0.087013,-0.0,0.000883,-0.274719,0.000752,0
0.088011,-0.0,0.000883,-0.604401,0.000647,0
0.089012,-0.0,0.000883,-0.274719,0.000546,0
0.090014,-0.0,0.000883,-0.164841,0.000449,0
0.091012,-0.0,0.000883,-0.054947,0.000358,0
0.092006,-0.0,0.000883,-0.274719,0.000271,0
0.093013,-0.0,0.000883,-0.164841,0.000191,0
0.094013,-0.0,0.000883,-0.164841,0.000116,0
