time_s,u,y,cr,pe,rmse
0.0,0.0,0.001455,0.054947,0.0,0
0.001012,0.0,0.001455,0.054947,0.0,0
0.002012,0.0,0.001455,0.054947,0.0,0
0.003001,0.0,0.001455,0.054947,0.0,0
0.00401,0.0,0.001455,0.054947,0.0,0
0.005011,0.0,0.001455,0.054947,0.0,0
0.006009,0.0,0.001455,0.164841,0.0,0
0.00701,0.0,0.001455,0.054947,0.0,0
0.008011,0.0,0.001455,0.054947,0.0,0
0.009009,0.0,0.001455,0.164841,0.0,0
0.010011,0.0,0.001455,0.054947,0.0,0
0.011012,0.0,0.001455,0.054947,0.0,0
0.01201,0.0,0.001455,-0.054947,0.0,0
0.013011,0.0,0.001455,0.054947,0.0,0
0.014009,0.0,0.001074,0.164841,0.0,0
0.015008,0.0,0.001074,0.164841,0.0,0
0.01601,0.0,0.001074,0.054947,0.0,0
0.017011,0.0,0.001074,0.054947,0.0,0
0.018011,0.0,0.001074,-0.054947,0.0,0
0.019011,0.0,0.001074,0.054947,0.0,0
0.020011,0.0,0.001074,-0.054947,0.0,0
0.021008,0.0,0.001074,0.164841,0.0,0
0.02201,0.0,0.001074,0.054947,0.0,0
0.02301,0.0,0.001074,0.164841,0.0,0
0.024014,0.0,0.001074,0.054947,0.0,0
0.025016,0.0,0.001074,0.164841,0.0,0
0.026014,0.0,0.001074,0.054947,0.0,0
0.027014,0.0,0.001074,0.054947,0.0,0
0.028014,0.0,0.001074,-0.054947,0.0,0
0.029011,0.0,0.001074,-0.054947,0.0,0
0.030011,0.0,0.001074,-0.054947,0.0,0
0.031012,0.0,0.001074,0.054947,0.0,0
0.032013,0.0,0.001074,0.054947,0.0,0
0.033013,0.0,0.001074,-0.054947,0.0,0
0.034015,0.0,0.001074,-0.164841,0.0,0
0.035013,0.0,0.001074,0.054947,0.0,0
0.03601,0.0,0.001074,-0.054947,0.0,0
0.037013,0.0,0.001074,0.054947,0.0,0
0.038016,0.0,0.001074,-0.164841,0.0,0
0.039009,0.0,0.001074,0.054947,0.0,0
0.040009,0.0,0.001074,-0.054947,0.0,0
0.041012,0.0,0.001074,-0.054947,0.0,0
0.042016,0.0,0.001074,-0.164841,0.0,0
0.043013,0.0,0.001074,-0.054947,0.0,0
0.044015,0.0,0.001074,-0.054947,0.0,0
0.045015,0.0,0.000692,0.054947,0.0,0
0.046012,0.0,0.000692,-0.164841,0.0,0
0.047011,0.0,0.000692,-0.054947,0.0,0
0.048013,0.0,0.000692,-0.164841,0.0,0
0.049009,0.0,0.000692,-0.054947,0.0,0
0.050011,0.0,0.000692,-0.054947,0.0,0
0.051012,0.0,0.000692,-0.054947,0.0,0
0.052009,0.0,0.000692,-0.054947,0.0,0
0.053012,0.0,0.000692,-0.164841,0.0,0
0.05401,0.0,0.000692,-0.054947,0.0,0
0.055012,0.0,0.000692,-0.164841,0.0,0
0.056014,0.0,0.000692,-0.054947,0.0,0
0.057015,0.0,0.000692,-0.054947,0.0,0
0.058013,0.0,0.000692,-0.164841,0.0,0
0.059014,0.0,0.000692,-0.054947,0.0,0
0.060014,0.0,0.000692,-0.164841,0.0,0
0.061016,0.0,0.000692,0.054947,0.0,0
0.062014,0.0,0.000692,-0.164841,0.0,0
0.063011,0.0,0.000692,-0.164841,0.0,0
0.064013,0.0,0.000692,-0.054947,0.0,0
0.065013,0.0,0.000692,-0.164841,0.0,0
0.066013,0.0,0.000692,-0.164841,0.0,0
0.067015,0.0,0.000692,-0.054947,0.0,0
0.068013,0.0,0.000692,-0.164841,0.0,0
0.069015,0.0,0.000692,-0.054947,0.0,0
0.070015,0.0,0.000692,-0.054947,0.0,0
0.071014,0.0,0.000692,-0.054947,0.0,0
0.072015,0.0,0.000692,-0.054947,0.0,0
0.073016,0.0,0.000692,-0.054947,0.0,0
0.074014,0.0,0.000692,-0.164841,0.0,0
0.075014,0.0,0.000692,0.054947,0.0,0
0.076014,0.0,0.000692,-0.054947,0.0,0
0.077013,0.0,0.000311,-0.164841,0.0,0
0.078004,0.0,0.000311,-0.164841,0.0,0
0.079002,0.0,0.000311,-0.164841,0.0,0
0.080006,0.0,0.000311,-0.164841,0.0,0
0.081005,0.0,0.000311,-0.054947,0.0,0
0.082,0.0,0.000311,-0.054947,0.0,0
0.083,0.0,0.000311,0.054947,0.0,0
0.084009,0.0,0.000311,-0.164841,0.0,0
0.085009,0.0,0.000311,-0.164841,0.0,0
0.086007,0.0,0.000311,0.054947,0.0,0
0.087012,0.0,0.000311,-0.164841,0.0,0
0.088009,0.0,0.000311,-0.164841,0.0,0
0.089013,0.0,0.000311,-0.054947,0.0,0
0.090011,0.0,0.000311,-0.164841,0.0,0
0.091011,0.0,0.000311,-0.164841,0.0,0
0.092013,0.0,0.000311,-0.164841,0.0,0
0.093009,0.0,0.000311,-0.054947,0.0,0
0.094004,0.0,0.000311,-0.054947,0.0,0
0.095007,0.0,0.000311,-0.054947,0.0,0
0.096007,0.0,0.000311,0.054947,0.0,0
0.097007,0.0,0.000311,-0.164841,0.0,0
0.098008,0.0,0.000311,-0.054947,0.0,0
0.099004,0.0,0.000311,-0.054947,0.0,0
0.100004,0.0,0.000311,0.054947,0.0,0
0.101009,0.0,0.000311,0.054947,0.0,0
0.102012,0.0,0.000311,0.054947,0.0,0
0.10301,0.0,0.000311,-0.054947,0.0,0
0.10401,0.0,-7.1e-05,-0.164841,0.0,0
0.105011,0.0,-7.1e-05,0.054947,0.0,0
0.106011,0.0,-7.1e-05,-0.054947,0.0,0
0.107008,0.0,-7.1e-05,-0.054947,0.0,0
0.108007,0.0,-7.1e-05,-0.164841,0.0,0
0.109007,0.0,-7.1e-05,-0.054947,0.0,0
0.110007,0.0,-7.1e-05,-0.054947,0.0,0
0.111005,0.0,-7.1e-05,0.054947,0.0,0
0.112008,0.0,-7.1e-05,-0.054947,0.0,0
0.113005,0.0,-7.1e-05,0.054947,0.0,0
0.114005,0.0,-7.1e-05,0.054947,0.0,0
0.115004,0.0,-7.1e-05,-0.054947,0.0,0
0.116006,0.0,-7.1e-05,0.054947,0.0,0
0.117004,0.0,-7.1e-05,0.054947,0.0,0
0.118006,0.0,-7.1e-05,0.054947,0.0,0
0.119004,0.0,-7.1e-05,0.054947,0.0,0
0.120007,0.0,-7.1e-05,-0.054947,0.0,0
0.121004,0.0,-7.1e-05,-0.054947,0.0,0
0.122007,0.0,-7.1e-05,0.054947,0.0,0
0.123003,0.0,-7.1e-05,-0.054947,0.0,0
0.124003,0.0,-7.1e-05,-0.054947,0.0,0
0.125003,0.0,-7.1e-05,-0.054947,0.0,0
0.126004,0.0,-7.1e-05,-0.054947,0.0,0
0.127005,0.0,-7.1e-05,-0.164841,0.0,0
0.128012,0.0,-7.1e-05,0.054947,0.0,0
0.129013,0.0,-7.1e-05,-0.054947,0.0,0
0.130012,0.0,-7.1e-05,-0.054947,0.0,0
0.131014,0.0,-7.1e-05,0.054947,0.0,0
0.132012,0.0,-7.1e-05,-0.054947,0.0,0
0.133014,0.0,-7.1e-05,-0.054947,0.0,0
0.134014,0.0,-7.1e-05,0.054947,0.0,0
0.135012,0.0,-7.1e-05,-0.054947,0.0,0
0.136011,0.0,-7.1e-05,-0.054947,0.0,0
0.137013,0.0,-7.1e-05,-0.054947,0.0,0
0.138013,0.0,-7.1e-05,-0.054947,0.0,0
0.139013,0.0,-7.1e-05,-0.054947,0.0,0
0.140013,0.0,-7.1e-05,-0.054947,0.0,0
0.141013,0.0,-7.1e-05,-0.054947,0.0,0
0.142015,0.0,-7.1e-05,-0.164841,0.0,0
0.143014,0.0,-7.1e-05,-0.164841,0.0,0
0.144014,0.0,-7.1e-05,0.054947,0.0,0
0.145013,0.0,-7.1e-05,-0.054947,0.0,0
0.146014,0.0,-7.1e-05,-0.054947,0.0,0
0.147012,0.0,-7.1e-05,-0.054947,0.0,0
0.148013,0.0,-7.1e-05,-0.164841,0.0,0
0.149011,0.0,-7.1e-05,-0.054947,0.0,0
0.150012,0.0,-7.1e-05,-0.054947,0.0,0
0.151012,0.0,-7.1e-05,0.054947,0.0,0
0.152013,0.0,-7.1e-05,0.054947,0.0,0
0.153012,0.0,-7.1e-05,0.054947,0.0,0
0.154013,0.0,-7.1e-05,-0.054947,0.0,0
0.155012,0.0,-7.1e-05,-0.054947,0.0,0
0.156012,0.0,-7.1e-05,-0.054947,0.0,0
0.157011,0.0,-7.1e-05,0.054947,0.0,0
0.158012,0.0,-7.1e-05,-0.054947,0.0,0
0.159011,0.0,-7.1e-05,0.054947,0.0,0
0.16001,0.0,-7.1e-05,-0.054947,0.0,0
0.161011,0.0,-7.1e-05,-0.054947,0.0,0
0.162011,0.0,-7.1e-05,0.054947,0.0,0
0.16301,0.0,-7.1e-05,0.054947,0.0,0
0.16401,0.0,-7.1e-05,0.054947,0.0,0
0.165008,0.0,-7.1e-05,-0.054947,0.0,0
0.166009,0.0,-7.1e-05,-0.054947,0.0,0
0.16701,0.0,-7.1e-05,0.054947,0.0,0
0.16801,0.0,-7.1e-05,0.164841,0.0,0
0.169009,0.0,-7.1e-05,-0.054947,0.0,0
0.170009,0.0,-7.1e-05,-0.054947,0.0,0
0.171008,0.0,-7.1e-05,-0.054947,0.0,0
0.172007,0.0,-7.1e-05,-0.054947,0.0,0
0.173012,0.0,-7.1e-05,-0.054947,0.0,0
0.174009,0.0,-7.1e-05,0.054947,0.0,0
0.175012,0.0,-7.1e-05,0.054947,0.0,0
0.176007,0.0,-7.1e-05,0.054947,0.0,0
0.177013,0.0,-7.1e-05,0.054947,0.0,0
0.178012,0.0,-7.1e-05,0.054947,0.0,0
0.17901,0.0,-7.1e-05,0.054947,0.0,0
0.18001,0.0,-7.1e-05,0.054947,0.0,0
