time_s,u,y,cr,pe,rmse
0.0,0.0,0.001455,-0.054947,0.0,0
0.001001,0.0,0.001455,-0.054947,0.0,0
0.001998,0.0,0.001455,-0.274719,0.0,0
0.002996,0.0,0.001455,-0.164841,0.0,0
0.003999,0.0,0.001455,-0.054947,0.0,0
0.005001,0.0,0.001455,-0.384613,0.0,0
0.006,0.0,0.001455,-0.164841,0.0,0
0.006997,0.0,0.001455,-0.054947,0.0,0
0.008,0.0,0.001455,-0.164841,0.0,0
0.008996,0.0,0.001455,-0.274719,0.0,0
0.009995,0.0,0.001455,-0.054947,0.0,0
0.010996,0.0,0.001455,-0.384613,0.0,0
0.012007,0.0,0.001455,-0.384613,0.0,0
0.012993,0.0,0.001455,-0.384613,0.0,0
0.013994,0.0,0.001455,-0.274719,0.0,0
0.014994,0.0,0.001455,-0.054947,0.0,0
0.015994,0.0,0.001455,-0.054947,0.0,0
0.016994,0.0,0.001455,-0.054947,0.0,0
0.018002,0.0,0.001455,-0.274719,0.0,0
0.019008,0.0,0.001455,-0.384613,0.0,0
0.020007,0.0,0.001074,-0.384613,0.0,0
0.021007,0.0,0.001074,-0.164841,0.0,0
0.022006,0.0,0.001074,-0.054947,0.0,0
0.023007,0.0,0.001074,-0.384613,0.0,0
0.02401,0.0,0.001074,-0.164841,0.0,0
0.025005,0.0,0.000692,-0.384613,0.0,0
0.026003,0.0,0.000692,-0.274719,0.0,0
0.027001,0.0,0.000692,-0.274719,0.0,0
0.028008,0.0,0.000311,-0.384613,0.0,0
0.029007,0.0,0.000311,-0.054947,0.0,0
0.030004,0.0,0.000311,0.164841,0.0,0
0.031004,0.0,-7.1e-05,-0.054947,0.0,0
0.032006,0.0,-7.1e-05,-0.164841,0.0,0
0.033009,0.0,-0.000452,-0.054947,0.0,0
0.034009,0.0,-0.000452,-0.164841,0.0,0
0.035009,0.0,-0.000452,-0.164841,0.0,0
0.036004,0.0,-0.000452,-0.384613,0.0,0
0.037005,0.0,-0.000452,-0.164841,0.0,0
0.038005,0.0,-0.000452,-0.054947,0.0,0
0.039006,0.0,-0.000452,-0.164841,0.0,0
0.040002,0.0,-0.000452,-0.274719,0.0,0
0.041002,0.0,-0.000452,-0.274719,0.0,0
0.042004,0.0,-0.000452,-0.054947,0.0,0
0.043006,0.0,-0.000452,-0.274719,0.0,0
0.044006,0.0,-0.000452,-0.164841,0.0,0
0.045005,0.0,-0.000452,-0.164841,0.0,0
0.046001,0.0,-0.000452,-0.274719,0.0,0
0.047003,0.0,-0.000452,-0.054947,0.0,0
0.048004,0.0,-0.000452,-0.054947,0.0,0
0.049004,0.0,-0.000452,-0.164841,0.0,0
0.050006,0.0,-0.000452,-0.384613,0.0,0
0.051005,0.0,-0.000452,-0.274719,0.0,0
0.052008,0.0,-0.000452,-0.054947,0.0,0
0.053001,0.0,-0.000452,-0.274719,0.0,0
0.054,0.0,-0.000452,-0.274719,0.0,0
0.055005,0.0,-0.000452,0.054947,0.0,0
0.056002,0.0,-0.000452,-0.164841,0.0,0
0.057003,0.0,-0.000452,-0.054947,0.0,0
0.058002,0.0,-0.000452,-0.274719,0.0,0
0.059,0.0,-0.000452,-0.274719,0.0,0
0.060007,0.0,-0.000452,-0.054947,0.0,0
0.061008,0.0,-0.000452,0.054947,0.0,0
0.062006,0.0,-0.000452,0.054947,0.0,0
0.063006,0.0,-0.000452,-0.054947,0.0,0
0.064008,0.0,-0.000452,-0.054947,0.0,0
0.06501,0.0,-0.000452,-0.164841,0.0,0
0.06601,0.0,-0.000452,-0.054947,0.0,0
0.067005,0.0,-0.000452,-0.164841,0.0,0
0.068005,0.0,-0.000452,-0.054947,0.0,0
0.069005,0.0,-0.000452,0.054947,0.0,0
0.070004,0.0,-0.000452,0.274719,0.0,0
0.071006,0.0,-0.000452,0.164841,0.0,0
0.072004,0.0,-0.000452,0.054947,0.0,0
0.073003,0.0,-0.000452,-0.054947,0.0,0
0.074006,0.0,-0.000452,-0.054947,0.0,0
0.075007,0.0,-0.000452,0.164841,0.0,0
0.076008,0.0,-0.000452,0.164841,0.0,0
0.077005,0.0,-0.000452,0.164841,0.0,0
0.078003,0.0,-0.000452,0.054947,0.0,0
0.079003,0.0,-0.000452,-0.054947,0.0,0
0.080003,0.0,-0.000452,-0.054947,0.0,0
0.081004,0.0,-0.000452,0.164841,0.0,0
0.082004,0.0,-0.000452,0.054947,0.0,0
0.083011,0.0,-0.000452,0.054947,0.0,0
0.084005,0.0,-0.000452,0.274719,0.0,0
0.085011,0.0,-0.000452,-0.054947,0.0,0
