time_s,u,y,ae,pe
0.0,0.0,-0.001596,0.001596,0.0
0.001001,0.0,-0.001596,0.001596,0.0
0.002003,0.0,-0.001596,0.001596,0.0
0.003002,0.0,-0.001596,0.001596,0.0
0.003997,0.0,-0.001596,0.001596,0.0
0.004997,0.0,-0.001596,0.001596,0.0
0.006002,0.0,-0.001596,0.001596,0.0
0.007003,0.0,-0.001596,0.001596,0.0
0.007998,0.0,-0.001596,0.001596,0.0
0.009001,0.0,-0.001596,0.001596,0.0
0.010003,0.0,-0.001596,0.001596,0.0
0.011001,0.0,-0.001596,0.001596,0.0
0.011998,0.0,-0.001596,0.001596,0.0
0.013,0.0,-0.001596,0.001596,0.0
0.014001,0.0,-0.001215,0.001215,0.0
0.015002,0.0,-0.001215,0.001215,0.0
0.016002,0.0,-0.001215,0.001215,0.0
0.016999,0.0,-0.001215,0.001215,0.0
0.017999,0.0,-0.001215,0.001215,0.0
0.019,0.0,-0.001215,0.001215,0.0
0.019998,0.0,-0.000833,0.000833,0.0
0.021002,0.0,-0.000833,0.000833,0.0
0.022,0.0,-0.000833,0.000833,0.0
0.022998,0.0,-0.000833,0.000833,0.0
0.024003,0.0,-0.000833,0.000833,0.0
0.025001,0.0,-0.000833,0.000833,0.0
0.026001,0.0,-0.000833,0.000833,0.0
0.027001,0.0,-0.000833,0.000833,0.0
0.027995,0.0,-0.000833,0.000833,0.0
0.029003,0.0,-0.000833,0.000833,0.0
0.029999,0.0,-0.000833,0.000833,0.0
0.030999,0.0,-0.000833,0.000833,0.0
0.032,0.0,-0.000833,0.000833,0.0
0.032994,0.0,-0.000833,0.000833,0.0
0.034001,0.0,-0.000452,0.000452,0.0
0.035001,0.0,-0.000452,0.000452,0.0
0.035996,0.0,-0.000452,0.000452,0.0
0.036999,0.0,-0.000452,0.000452,0.0
0.037999,0.0,-7e-05,7e-05,0.0
0.039002,0.0,-7e-05,7e-05,0.0
0.039999,0.0,-7e-05,7e-05,0.0
0.041003,0.0,0.000311,-0.000311,0.0
0.041997,0.0,0.000311,-0.000311,0.0
0.042998,0.0,0.000311,-0.000311,0.0
0.044001,0.0,0.000693,-0.000693,0.0
0.044998,0.0,0.000693,-0.000693,0.0
0.045988,0.0,0.001074,-0.001074,0.0
0.046994,0.0,0.001074,-0.001074,0.0
0.047999,0.0,0.001455,-0.001455,0.0
0.048997,0.0,0.001455,-0.001455,0.0
0.049999,0.0,0.001455,-0.001455,0.0
0.051001,0.0,0.001455,-0.001455,0.0
0.051997,0.0,0.001837,-0.001837,0.0
0.053001,0.0,0.001837,-0.001837,0.0
0.054001,0.0,0.001837,-0.001837,0.0
0.055001,0.0,0.001837,-0.001837,0.0
0.056,0.0,0.001455,-0.001455,0.0
0.057001,0.0,0.001455,-0.001455,0.0
0.058001,0.0,0.001455,-0.001455,0.0
0.058998,0.0,0.001455,-0.001455,0.0
0.059996,0.0,0.001455,-0.001455,0.0
0.060997,0.0,0.001074,-0.001074,0.0
0.062001,0.0,0.001074,-0.001074,0.0
0.062991,0.0,0.001074,-0.001074,0.0
0.063992,0.0,0.001074,-0.001074,0.0
0.064996,0.0,0.001074,-0.001074,0.0
0.065995,0.0,0.001074,-0.001074,0.0
0.067,0.0,0.001074,-0.001074,0.0
0.068002,0.0,0.001074,-0.001074,0.0
0.069,0.0,0.001074,-0.001074,0.0
0.070004,0.0,0.001074,-0.001074,0.0
0.071003,0.0,0.001074,-0.001074,0.0
0.072004,0.0,0.001074,-0.001074,0.0
0.073001,0.0,0.001074,-0.001074,0.0
0.074001,0.0,0.001074,-0.001074,0.0
0.075004,0.0,0.001074,-0.001074,0.0
0.076003,0.0,0.001074,-0.001074,0.0
0.077003,0.0,0.001074,-0.001074,0.0
0.078003,0.0,0.001074,-0.001074,0.0
0.079004,0.0,0.001074,-0.001074,0.0
0.080002,0.0,0.001074,-0.001074,0.0
0.081,0.0,0.001074,-0.001074,0.0
0.082002,0.0,0.001074,-0.001074,0.0
0.083002,0.0,0.001074,-0.001074,0.0
0.084003,0.0,0.001074,-0.001074,0.0
0.085005,0.0,0.001074,-0.001074,0.0
0.086001,0.0,0.001074,-0.001074,0.0
0.087003,0.0,0.001074,-0.001074,0.0
0.088,0.0,0.001074,-0.001074,0.0
0.089001,0.0,0.001074,-0.001074,0.0
0.090004,0.0,0.001074,-0.001074,0.0
0.091005,0.0,0.000693,-0.000693,0.0
0.092002,0.0,0.000693,-0.000693,0.0
0.093002,0.0,0.000693,-0.000693,0.0
0.094004,0.0,0.000693,-0.000693,0.0
0.095002,0.0,0.000693,-0.000693,0.0
0.096001,0.0,0.000693,-0.000693,0.0
0.097004,0.0,0.000693,-0.000693,0.0
0.098001,0.0,0.000693,-0.000693,0.0
0.098998,0.0,0.001074,-0.001074,0.0
0.099999,0.0,0.001074,-0.001074,0.0
0.101001,0.0,0.001074,-0.001074,0.0
0.101998,0.0,0.001074,-0.001074,0.0
0.102998,0.0,0.001074,-0.001074,0.0
0.103999,0.0,0.001074,-0.001074,0.0
0.105001,0.0,0.000693,-0.000693,0.0
0.106011,0.0,0.000693,-0.000693,0.0
0.107001,0.0,0.000693,-0.000693,0.0
0.107999,0.0,0.000693,-0.000693,0.0
0.108999,0.0,0.000693,-0.000693,0.0
0.11,0.0,0.000693,-0.000693,0.0
0.111001,0.0,0.000693,-0.000693,0.0
0.111998,0.0,0.000693,-0.000693,0.0
0.113,0.0,0.000693,-0.000693,0.0
0.114001,0.0,0.000693,-0.000693,0.0
0.114999,0.0,0.000693,-0.000693,0.0
0.115999,0.0,0.000693,-0.000693,0.0
0.116997,0.0,0.000693,-0.000693,0.0
0.117994,0.0,0.000693,-0.000693,0.0
0.118997,0.0,0.000693,-0.000693,0.0
0.120003,0.0,0.000693,-0.000693,0.0
0.120997,0.0,0.000693,-0.000693,0.0
0.121996,0.0,0.000693,-0.000693,0.0
0.122997,0.0,0.000693,-0.000693,0.0
0.123996,0.0,0.000693,-0.000693,0.0
0.124993,0.0,0.000311,-0.000311,0.0
0.125996,0.0,0.000311,-0.000311,0.0
0.126994,0.0,0.000311,-0.000311,0.0
0.127992,0.0,0.000311,-0.000311,0.0
0.128992,0.0,0.000311,-0.000311,0.0
0.129993,0.0,0.000311,-0.000311,0.0
0.130992,0.0,0.000311,-0.000311,0.0
0.131992,0.0,0.000311,-0.000311,0.0
0.132993,0.0,0.000311,-0.000311,0.0
0.133991,0.0,0.000311,-0.000311,0.0
0.135003,0.0,0.000311,-0.000311,0.0
0.136004,0.0,0.000311,-0.000311,0.0
0.137008,0.0,0.000311,-0.000311,0.0
0.138006,0.0,0.000311,-0.000311,0.0
0.139005,0.0,0.000311,-0.000311,0.0
0.140005,0.0,0.000311,-0.000311,0.0
0.141009,0.0,0.000311,-0.000311,0.0
0.142005,0.0,0.000311,-0.000311,0.0
0.143005,0.0,0.000311,-0.000311,0.0
0.144005,0.0,0.000311,-0.000311,0.0
0.145005,0.0,0.000311,-0.000311,0.0
0.146004,0.0,0.000311,-0.000311,0.0
0.147007,0.0,0.000311,-0.000311,0.0
0.148003,0.0,0.000311,-0.000311,0.0
0.149006,0.0,0.000311,-0.000311,0.0
0.150005,0.0,0.000311,-0.000311,0.0
