time_s,u,y,cr,pe,rmse
0.0,0.0,-0.000833,-0.604401,-0.03464,0
0.001001,0.0,-0.000833,-0.384613,-0.034316,0
0.002001,0.0,-0.000833,-0.604401,-0.033692,0
0.002999,0.0,-0.000833,-0.604401,-0.032806,0
0.003999,0.0,-0.000833,-0.604401,-0.031688,0
0.004996,0.0,-0.000833,-0.824173,-0.030374,0
0.005998,0.0,-0.000833,-0.384613,-0.028893,0
0.00701,0.0,-0.000833,-0.384613,-0.027276,0
0.00801,0.0,-0.000452,-0.274719,-0.025552,0
0.009012,0.0,-0.000452,-0.384613,-0.023747,0
0.010012,0.0,-0.000452,-0.384613,-0.021887,0
0.011014,0.0,-0.000452,-0.274719,-0.019994,0
0.012012,0.0,-0.000452,-0.384613,-0.01809,0
0.013013,0.0,-0.000452,-0.384613,-0.016194,0
0.014011,0.0,-0.000452,-0.494507,-0.014324,0
0.01501,0.0,-0.000452,-0.494507,-0.012495,0
0.016012,0.0,-0.000452,-0.384613,-0.01072,0
0.01701,0.0,-0.000452,-0.604401,-0.009012,0
0.018015,0.0,-0.000452,-0.384613,-0.007381,0
0.019012,0.0,-0.000452,-0.494507,-0.005835,0
0.02001,0.0,-0.000833,-0.494507,-0.00438,0
0.021008,0.0,-0.000833,-0.824173,-0.003022,0
0.022007,0.0,-0.000833,-0.494507,-0.001765,0
0.02301,0.0,-0.000833,-0.494507,-0.000611,0
0.024007,0.0,-0.000452,-0.494507,0.000439,0
0.025014,0.0,-0.000452,-0.824173,0.001384,0
0.026008,0.0,-0.000452,-0.494507,0.002226,0
0.027016,0.0,-0.000452,-0.824173,0.002966,0
0.028011,0.0,-0.000452,-0.714279,0.003607,0
0.02901,0.0,-0.000452,-0.384613,0.004152,0
0.030008,0.0,-0.000452,-0.274719,0.004605,0
0.031011,0.0,-0.000452,-0.714279,0.00497,0
0.032014,0.0,-0.000452,-0.384613,0.005253,0
0.033008,0.0,-0.000452,-0.384613,0.005459,0
0.034009,0.0,-0.000452,-0.714279,0.005592,0
0.03501,0.0,-0.000452,-0.274719,0.005659,0
0.036006,0.0,-0.000452,-0.384613,0.005666,0
0.037012,0.0,-0.000452,-0.384613,0.005617,0
0.038012,0.0,-0.000452,-0.714279,0.005519,0
0.03901,0.0,-0.000452,-0.494507,0.005377,0
0.040014,0.0,-0.000452,-0.274719,0.005198,0
0.041013,0.0,-0.000452,-0.494507,0.004985,0
0.042012,0.0,-0.000452,-0.714279,0.004745,0
0.043012,0.0,-0.000452,-0.494507,0.004483,0
0.044013,0.0,-0.000452,-0.494507,0.004202,0
0.045011,0.0,-0.000452,-0.494507,0.003908,0
0.046012,0.0,-0.000452,-0.494507,0.003604,0
0.047012,0.0,-0.000452,-0.494507,0.003295,0
0.048009,0.0,-0.000452,-0.494507,0.002984,0
0.049011,0.0,-0.000452,-0.494507,0.002674,0
0.05001,0.0,-0.000452,-0.274719,0.002368,0
0.05101,0.0,-0.000452,-0.384613,0.002068,0
0.05201,0.0,-0.000452,-0.494507,0.001777,0
0.05301,0.0,-0.000452,-0.384613,0.001497,0
0.054019,0.0,-0.000452,-0.824173,0.001229,0
0.05502,0.0,-0.000452,-0.824173,0.000975,0
0.056014,0.0,-0.000452,-0.714279,0.000736,0
0.057011,0.0,-0.000452,-0.714279,0.000512,0
0.058011,0.0,-0.000452,-0.384613,0.000305,0
0.059011,0.0,-0.000452,-0.494507,0.000115,0
0.060011,0.0,-0.000452,-0.494507,-5.8e-05,0
0.061012,0.0,-0.000452,-0.494507,-0.000214,0
0.062012,0.0,-0.000452,-0.604401,-0.000353,0
0.063014,0.0,-0.000452,-0.274719,-0.000475,0
0.064012,0.0,-0.000452,-0.494507,-0.000581,0
0.065012,0.0,-0.000452,-0.384613,-0.000672,0
0.066012,0.0,-0.000452,-0.384613,-0.000747,0
0.067015,0.0,-0.000452,-0.384613,-0.000808,0
0.068016,0.0,-0.000452,-0.714279,-0.000855,0
0.069011,0.0,-0.000452,-0.604401,-0.00089,0
0.070011,0.0,-0.000452,-0.494507,-0.000913,0
0.071011,0.0,-0.000452,-0.494507,-0.000925,0
0.072013,0.0,-0.000452,-0.494507,-0.000927,0
0.073012,0.0,-0.000452,-0.604401,-0.000919,0
0.074015,0.0,-0.000452,-0.494507,-0.000904,0
0.075018,0.0,-0.000452,-0.604401,-0.000881,0
0.076013,0.0,-0.000452,-0.714279,-0.000853,0
0.077013,0.0,-0.000452,-0.494507,-0.000818,0
0.078013,0.0,-0.000452,-0.714279,-0.000779,0
0.079014,0.0,-0.000452,-0.714279,-0.000737,0
0.080013,0.0,-0.000452,-0.494507,-0.000691,0
0.081011,0.0,-0.000452,-0.714279,-0.000643,0
0.08202,0.0,-0.000452,-0.824173,-0.000594,0
0.083011,0.0,-0.000452,-0.494507,-0.000543,0
0.084011,0.0,-0.000452,-0.604401,-0.000492,0
0.085014,0.0,-0.000452,-0.934067,-0.000441,0
0.086012,0.0,-0.000452,-0.714279,-0.000391,0
0.087013,0.0,-0.000452,-0.604401,-0.000342,0
0.088015,0.0,-0.000452,-0.604401,-0.000294,0
0.089012,0.0,-0.000452,-0.604401,-0.000249,0
0.09001,0.0,-0.000452,-0.384613,-0.000205,0
0.091013,0.0,-0.000452,-0.494507,-0.000163,0
0.092011,0.0,-0.000452,-0.494507,-0.000123,0
0.093016,0.0,-0.000452,-1.043961,-8.7e-05,0
0.094011,0.0,-0.000452,-0.494507,-5.3e-05,0
