time_s,u,y,ae,pe
0.0,-0.0,0.000502,-0.000502,0.0
0.001,-0.0,0.000502,-0.000502,0.0
0.002,-0.0,0.000502,-0.000502,0.0
0.003,-0.0,0.000502,-0.000502,0.0
0.003998,-0.0,0.000502,-0.000502,0.0
0.004997,-0.0,0.000502,-0.000502,0.0
0.005996,-0.0,0.000502,-0.000502,0.0
0.006996,-0.0,0.000502,-0.000502,0.0
0.007994,-0.0,0.000502,-0.000502,0.0
0.009,-0.0,0.000502,-0.000502,0.0
0.009999,-0.0,0.000502,-0.000502,0.0
0.011003,-0.0,0.000502,-0.000502,0.0
0.011995,-0.0,0.000502,-0.000502,0.0
0.012996,-0.0,0.000502,-0.000502,0.0
0.013998,-0.0,0.00012,-0.00012,0.0
0.014992,-0.0,0.00012,-0.00012,-0.0
0.015995,-0.0,0.00012,-0.00012,-0.0
0.016994,-0.0,0.00012,-0.00012,-0.0
0.017993,-0.0,0.00012,-0.00012,-0.0
0.018992,-0.0,0.00012,-0.00012,-0.0
0.019992,-0.0,0.00012,-0.00012,-0.0
0.020994,-0.0,0.00012,-0.00012,-0.0
0.02199,-0.0,0.00012,-0.00012,-0.0
0.022991,-0.0,0.00012,-0.00012,-0.0
0.024005,-0.0,0.00012,-0.00012,-0.0
0.025005,-0.0,0.00012,-0.00012,-0.0
0.026008,-0.0,0.00012,-0.00012,-0.0
0.027003,-0.0,0.00012,-0.00012,-0.0
0.028005,-0.0,0.00012,-0.00012,-0.0
0.029002,-0.0,0.00012,-0.00012,-0.0
0.030005,-0.0,0.00012,-0.00012,-0.0
0.031004,-0.0,0.00012,-0.00012,-0.0
0.032001,-0.0,0.00012,-0.00012,-0.0
0.033003,-0.0,0.00012,-0.00012,-0.0
0.034003,-0.0,0.00012,-0.00012,-0.0
0.035003,-0.0,0.00012,-0.00012,-0.0
0.036004,-0.0,0.00012,-0.00012,-0.0
0.037006,-0.0,0.00012,-0.00012,-0.0
0.038008,-0.0,0.00012,-0.00012,-0.0
0.039005,-0.0,0.00012,-0.00012,-0.0
0.040003,-0.0,0.00012,-0.00012,-0.0
0.041004,-0.0,0.00012,-0.00012,-0.0
0.042003,-0.0,0.00012,-0.00012,-0.0
0.043002,-0.0,0.00012,-0.00012,-0.0
