time_s,u,y,ae,pe,rmse
0.0,-0.0,-0.001787,0.001787,0.0,0
0.001,-0.0,-0.001787,0.001787,0.0,0
0.002,-0.0,-0.001787,0.001787,0.0,0
0.002997,-0.0,-0.001787,0.001787,0.0,0
0.003998,-0.0,-0.001787,0.001787,0.0,0
0.005,-0.0,-0.001787,0.001787,0.0,0
0.005998,-0.0,-0.001787,0.001787,0.0,0
0.007003,-0.0,-0.001787,0.001787,0.0,0
0.007997,-0.0,-0.001787,0.001787,0.0,0
0.008996,-0.0,-0.001406,0.001406,0.0,0
0.009998,-0.0,-0.001406,0.001406,0.0,0
0.010998,-0.0,-0.001406,0.001406,0.0,0
0.011996,-0.0,-0.001406,0.001406,0.0,0
0.012998,-0.0,-0.001406,0.001406,0.0,0
0.013998,-0.0,-0.001406,0.001406,0.0,0
0.014997,-0.0,-0.001406,0.001406,0.0,0
0.015994,-0.0,-0.001024,0.001024,0.0,0
0.016993,-0.0,-0.001024,0.001024,0.0,0
0.018008,-0.0,-0.001024,0.001024,0.0,0
0.018997,-0.0,-0.001024,0.001024,0.0,0
0.019996,-0.0,-0.001024,0.001024,0.0,0
0.020997,-0.0,-0.001024,0.001024,0.0,0
0.021995,-0.0,-0.001024,0.001024,0.0,0
0.022995,-0.0,-0.000643,0.000643,0.0,0
0.023992,-0.0,-0.000643,0.000643,0.0,0
0.024995,-0.0,-0.000643,0.000643,0.0,0
0.026006,-0.0,-0.000643,0.000643,0.0,0
0.027009,-0.0,-0.000643,0.000643,0.0,0
0.028007,-0.0,-0.000643,0.000643,0.0,0
0.029004,-0.0,-0.000643,0.000643,0.0,0
0.029993,-0.0,-0.000643,0.000643,0.0,0
0.03099,-0.0,-0.000261,0.000261,0.0,0
0.03201,-0.0,-0.000261,0.000261,0.0,0
0.033002,-0.0,-0.000261,0.000261,0.0,0
0.034,-0.0,0.00012,-0.00012,0.0,0
0.035001,-0.0,0.00012,-0.00012,0.0,0
0.036002,-0.0,0.000502,-0.000502,0.0,0
0.037007,-0.0,0.000502,-0.000502,0.0,0
0.03801,-0.0,0.000883,-0.000883,0.0,0
0.039002,-0.0,0.000883,-0.000883,0.0,0
0.04,-0.0,0.001265,-0.001265,0.0,0
0.041007,-0.0,0.001265,-0.001265,0.0,0
0.042007,-0.0,0.001646,-0.001646,0.0,0
0.043007,-0.0,0.001646,-0.001646,0.0,0
0.044007,-0.0,0.001646,-0.001646,0.0,0
0.045005,-0.0,0.001646,-0.001646,0.0,0
0.046004,-0.0,0.001646,-0.001646,0.0,0
0.047009,-0.0,0.001646,-0.001646,0.0,0
0.048008,-0.0,0.001646,-0.001646,0.0,0
0.049005,-0.0,0.001646,-0.001646,0.0,0
0.050008,-0.0,0.001646,-0.001646,0.0,0
0.051007,-0.0,0.001646,-0.001646,0.0,0
0.052011,-0.0,0.001646,-0.001646,0.0,0
0.05301,-0.0,0.001265,-0.001265,0.0,0
0.054006,-0.0,0.001265,-0.001265,0.0,0
0.055005,-0.0,0.001265,-0.001265,0.0,0
0.056004,-0.0,0.001265,-0.001265,0.0,0
0.057006,-0.0,0.000883,-0.000883,0.0,0
0.058004,-0.0,0.000883,-0.000883,0.0,0
0.059,-0.0,0.000883,-0.000883,0.0,0
0.060005,-0.0,0.000883,-0.000883,0.0,0
0.061007,-0.0,0.000883,-0.000883,0.0,0
0.062008,-0.0,0.000883,-0.000883,0.0,0
0.063008,-0.0,0.000883,-0.000883,0.0,0
0.064005,-0.0,0.000883,-0.000883,0.0,0
0.065008,-0.0,0.000883,-0.000883,0.0,0
0.066001,-0.0,0.000883,-0.000883,0.0,0
0.067002,-0.0,0.000883,-0.000883,0.0,0
0.068004,-0.0,0.000883,-0.000883,0.0,0
0.069006,-0.0,0.001265,-0.001265,0.0,0
0.070006,-0.0,0.001265,-0.001265,0.0,0
0.071004,-0.0,0.001265,-0.001265,0.0,0
0.07201,-0.0,0.001265,-0.001265,0.0,0
0.073007,-0.0,0.001265,-0.001265,0.0,0
0.074007,-0.0,0.001265,-0.001265,0.0,0
