time_s,u,y,ae,pe,rmse
0.0,-0.0,0.001646,-0.001646,-2e-06,0
0.001017,-0.0,0.001646,-0.001646,-2e-06,0
0.002016,-0.0,0.001646,-0.001646,-2e-06,0
0.003018,-0.0,0.001646,-0.001646,-1e-06,0
0.004016,-0.0,0.001646,-0.001646,-1e-06,0
0.005018,-0.0,0.001646,-0.001646,-1e-06,0
0.006018,-0.0,0.001265,-0.001265,-1e-06,0
0.007011,-0.0,0.001265,-0.001265,-1e-06,0
0.008014,-0.0,0.001265,-0.001265,-1e-06,0
0.009014,-0.0,0.001265,-0.001265,-1e-06,0
0.010014,-0.0,0.001265,-0.001265,-1e-06,0
0.011012,-0.0,0.001265,-0.001265,-1e-06,0
0.012013,-0.0,0.001265,-0.001265,-1e-06,0
0.013012,-0.0,0.001265,-0.001265,-1e-06,0
0.014013,-0.0,0.001265,-0.001265,-1e-06,0
0.015014,-0.0,0.001265,-0.001265,-1e-06,0
0.016014,-0.0,0.001265,-0.001265,-0.0,0
0.017015,-0.0,0.001265,-0.001265,-0.0,0
0.018015,-0.0,0.001265,-0.001265,-0.0,0
0.019012,-0.0,0.001265,-0.001265,-0.0,0
0.020016,-0.0,0.001265,-0.001265,-0.0,0
0.021013,-0.0,0.001265,-0.001265,-0.0,0
0.022013,-0.0,0.001265,-0.001265,-0.0,0
0.023015,-0.0,0.001265,-0.001265,-0.0,0
0.024014,-0.0,0.001265,-0.001265,0.0,0
0.025012,-0.0,0.001265,-0.001265,0.0,0
0.026016,-0.0,0.001265,-0.001265,0.0,0
0.027016,-0.0,0.001265,-0.001265,0.0,0
0.028013,-0.0,0.001265,-0.001265,0.0,0
0.029016,-0.0,0.001265,-0.001265,0.0,0
0.030011,-0.0,0.001265,-0.001265,0.0,0
0.031014,-0.0,0.001265,-0.001265,0.0,0
0.032013,-0.0,0.001265,-0.001265,0.0,0
0.033013,-0.0,0.001265,-0.001265,0.0,0
0.034015,-0.0,0.001265,-0.001265,0.0,0
0.035013,-0.0,0.001265,-0.001265,0.0,0
0.036013,-0.0,0.001265,-0.001265,0.0,0
0.03701,-0.0,0.001265,-0.001265,0.0,0
0.038012,-0.0,0.001265,-0.001265,0.0,0
0.039012,-0.0,0.001265,-0.001265,0.0,0
0.040018,-0.0,0.000883,-0.000883,0.0,0
0.041013,-0.0,0.000883,-0.000883,0.0,0
0.042011,-0.0,0.000883,-0.000883,0.0,0
0.043013,-0.0,0.000883,-0.000883,0.0,0
0.04401,-0.0,0.000883,-0.000883,0.0,0
0.04501,-0.0,0.000883,-0.000883,0.0,0
0.04601,-0.0,0.000883,-0.000883,0.0,0
0.047008,-0.0,0.000883,-0.000883,0.0,0
0.048013,-0.0,0.000883,-0.000883,0.0,0
0.049008,-0.0,0.000883,-0.000883,0.0,0
0.050007,-0.0,0.000883,-0.000883,0.0,0
0.051008,-0.0,0.000883,-0.000883,0.0,0
0.052012,-0.0,0.000883,-0.000883,0.0,0
0.053007,-0.0,0.000883,-0.000883,0.0,0
0.05401,-0.0,0.000883,-0.000883,0.0,0
0.055005,-0.0,0.000883,-0.000883,0.0,0
0.056007,-0.0,0.000883,-0.000883,0.0,0
0.057012,-0.0,0.000883,-0.000883,0.0,0
0.058012,-0.0,0.000883,-0.000883,0.0,0
0.059012,-0.0,0.000883,-0.000883,0.0,0
0.06001,-0.0,0.000883,-0.000883,-0.0,0
0.061013,-0.0,0.000883,-0.000883,-0.0,0
0.062011,-0.0,0.000883,-0.000883,-0.0,0
0.063013,-0.0,0.000502,-0.000502,-0.0,0
0.064015,-0.0,0.000502,-0.000502,-0.0,0
0.06501,-0.0,0.000502,-0.000502,-0.0,0
0.066014,-0.0,0.000502,-0.000502,-0.0,0
0.067008,-0.0,0.000502,-0.000502,-0.0,0
0.068009,-0.0,0.000502,-0.000502,-0.0,0
0.069007,-0.0,0.000502,-0.000502,-0.0,0
0.070007,-0.0,0.000502,-0.000502,-0.0,0
0.071009,-0.0,0.000502,-0.000502,-0.0,0
0.072014,-0.0,0.000502,-0.000502,-0.0,0
0.073015,-0.0,0.00012,-0.00012,-0.0,0
0.074015,-0.0,0.00012,-0.00012,-0.0,0
0.075013,-0.0,0.00012,-0.00012,-0.0,0
0.076015,-0.0,0.00012,-0.00012,-0.0,0
0.077017,-0.0,0.00012,-0.00012,-0.0,0
0.078013,-0.0,0.00012,-0.00012,-0.0,0
0.079017,-0.0,0.00012,-0.00012,-0.0,0
0.080015,-0.0,0.00012,-0.00012,-0.0,0
0.081018,-0.0,0.00012,-0.00012,-0.0,0
0.082017,-0.0,0.00012,-0.00012,-0.0,0
0.083019,-0.0,0.00012,-0.00012,-0.0,0
0.084016,-0.0,0.00012,-0.00012,-0.0,0
0.085015,-0.0,0.00012,-0.00012,-0.0,0
0.086015,-0.0,-0.000261,0.000261,-0.0,0
0.087018,-0.0,-0.000261,0.000261,-0.0,0
0.088016,-0.0,-0.000261,0.000261,-0.0,0
0.089017,-0.0,-0.000261,0.000261,-0.0,0
0.090018,-0.0,-0.000261,0.000261,-0.0,0
0.091018,-0.0,-0.000261,0.000261,-0.0,0
0.092018,-0.0,-0.000261,0.000261,-0.0,0
0.093017,-0.0,-0.000261,0.000261,-0.0,0
0.094016,-0.0,-0.000261,0.000261,-0.0,0
0.095014,-0.0,-0.000261,0.000261,-0.0,0
0.096013,-0.0,-0.000261,0.000261,0.0,0
0.097012,-0.0,-0.000261,0.000261,0.0,0
0.098015,-0.0,-0.000261,0.000261,0.0,0
0.099011,-0.0,-0.000261,0.000261,0.0,0
0.100014,-0.0,-0.000261,0.000261,0.0,0
0.101014,-0.0,-0.000261,0.000261,0.0,0
0.102015,-0.0,-0.000261,0.000261,0.0,0
0.103015,-0.0,-0.000261,0.000261,0.0,0
0.10401,-0.0,-0.000261,0.000261,0.0,0
0.10501,-0.0,-0.000261,0.000261,0.0,0
0.106013,-0.0,-0.000261,0.000261,0.0,0
0.107012,-0.0,-0.000261,0.000261,0.0,0
0.108013,-0.0,-0.000261,0.000261,0.0,0
0.109012,-0.0,-0.000261,0.000261,0.0,0
0.110014,-0.0,-0.000261,0.000261,0.0,0
0.111014,-0.0,-0.000261,0.000261,0.0,0
0.112012,-0.0,-0.000261,0.000261,0.0,0
0.113014,-0.0,-0.000261,0.000261,0.0,0
0.114009,-0.0,-0.000261,0.000261,0.0,0
0.115011,-0.0,-0.000261,0.000261,0.0,0
0.116011,-0.0,-0.000261,0.000261,0.0,0
0.11701,-0.0,-0.000261,0.000261,0.0,0
0.11801,-0.0,-0.000261,0.000261,0.0,0
0.119008,-0.0,-0.000261,0.000261,0.0,0
0.120009,-0.0,-0.000261,0.000261,0.0,0
0.12101,-0.0,-0.000261,0.000261,0.0,0
0.122007,-0.0,-0.000261,0.000261,0.0,0
0.123009,-0.0,-0.000261,0.000261,0.0,0
0.124007,-0.0,-0.000261,0.000261,0.0,0
0.125008,-0.0,-0.000261,0.000261,0.0,0
0.126008,-0.0,-0.000261,0.000261,0.0,0
0.127007,-0.0,-0.000261,0.000261,0.0,0
0.128006,-0.0,-0.000261,0.000261,0.0,0
0.129007,-0.0,-0.000261,0.000261,0.0,0
0.130007,-0.0,-0.000261,0.000261,0.0,0
0.131007,-0.0,-0.000261,0.000261,0.0,0
0.132006,-0.0,-0.000261,0.000261,-0.0,0
0.133007,-0.0,-0.000261,0.000261,-0.0,0
0.134007,-0.0,-0.000261,0.000261,-0.0,0
0.135005,-0.0,-0.000261,0.000261,-0.0,0
0.136005,-0.0,-0.000261,0.000261,-0.0,0
0.137004,-0.0,-0.000261,0.000261,-0.0,0
0.138004,-0.0,-0.000261,0.000261,-0.0,0
0.139005,-0.0,-0.000261,0.000261,-0.0,0
0.140004,-0.0,-0.000261,0.000261,-0.0,0
0.141003,-0.0,-0.000261,0.000261,-0.0,0
0.142003,-0.0,-0.000261,0.000261,-0.0,0
0.143003,-0.0,-0.000261,0.000261,-0.0,0
0.144004,-0.0,-0.000261,0.000261,-0.0,0
0.145005,-0.0,-0.000261,0.000261,-0.0,0
0.146003,-0.0,-0.000261,0.000261,-0.0,0
0.147002,-0.0,-0.000261,0.000261,-0.0,0
0.148003,-0.0,-0.000261,0.000261,-0.0,0
0.149002,-0.0,-0.000261,0.000261,-0.0,0
0.150002,-0.0,-0.000261,0.000261,-0.0,0
0.151003,-0.0,-0.000261,0.000261,-0.0,0
0.152,-0.0,-0.000261,0.000261,-0.0,0
0.153002,-0.0,-0.000261,0.000261,-0.0,0
0.154001,-0.0,-0.000261,0.000261,-0.0,0
0.155002,-0.0,-0.000261,0.000261,-0.0,0
0.156013,-0.0,-0.000261,0.000261,-0.0,0
0.157015,-0.0,-0.000261,0.000261,-0.0,0
0.158014,-0.0,-0.000261,0.000261,-0.0,0
0.158999,-0.0,-0.000261,0.000261,-0.0,0
0.160001,-0.0,-0.000261,0.000261,-0.0,0
0.161001,-0.0,-0.000261,0.000261,-0.0,0
0.162014,-0.0,-0.000261,0.000261,-0.0,0
0.163014,-0.0,-0.000261,0.000261,-0.0,0
0.164015,-0.0,-0.000261,0.000261,-0.0,0
0.165012,-0.0,-0.000261,0.000261,-0.0,0
0.16601,-0.0,-0.000261,0.000261,-0.0,0
0.16701,-0.0,-0.000261,0.000261,-0.0,0
0.16801,-0.0,-0.000261,0.000261,0.0,0
0.169011,-0.0,-0.000261,0.000261,0.0,0
0.170012,-0.0,-0.000261,0.000261,0.0,0
0.17101,-0.0,-0.000261,0.000261,0.0,0
0.172013,-0.0,0.00012,-0.00012,0.0,0
0.173014,-0.0,0.00012,-0.00012,0.0,0
0.174011,-0.0,0.00012,-0.00012,0.0,0
0.175018,-0.0,0.00012,-0.00012,0.0,0
0.176011,-0.0,0.00012,-0.00012,0.0,0
0.177011,-0.0,0.00012,-0.00012,0.0,0
0.178011,-0.0,0.00012,-0.00012,0.0,0
0.179013,-0.0,0.00012,-0.00012,0.0,0
0.18001,-0.0,0.00012,-0.00012,0.0,0
0.181015,-0.0,0.00012,-0.00012,0.0,0
0.182013,-0.0,0.00012,-0.00012,0.0,0
0.183015,-0.0,0.00012,-0.00012,0.0,0
0.18401,-0.0,-0.000261,0.000261,0.0,0
0.185012,-0.0,-0.000261,0.000261,0.0,0
0.186014,-0.0,-0.000261,0.000261,0.0,0
0.187016,-0.0,-0.000261,0.000261,0.0,0
0.188017,-0.0,-0.000261,0.000261,0.0,0
0.189009,-0.0,-0.000261,0.000261,0.0,0
0.190013,-0.0,0.00012,-0.00012,0.0,0
0.191012,-0.0,0.00012,-0.00012,0.0,0
0.192011,-0.0,0.00012,-0.00012,0.0,0
0.193009,-0.0,0.00012,-0.00012,0.0,0
0.194011,-0.0,0.00012,-0.00012,0.0,0
0.19501,-0.0,0.00012,-0.00012,0.0,0
0.196012,-0.0,0.00012,-0.00012,0.0,0
0.197012,-0.0,0.00012,-0.00012,0.0,0
0.19801,-0.0,0.00012,-0.00012,0.0,0
0.199008,-0.0,0.00012,-0.00012,0.0,0
0.200016,-0.0,0.00012,-0.00012,0.0,0
0.201015,-0.0,0.00012,-0.00012,0.0,0
0.202013,-0.0,0.00012,-0.00012,0.0,0
0.203018,-0.0,0.00012,-0.00012,0.0,0
0.204015,-0.0,0.00012,-0.00012,-0.0,0
0.205017,-0.0,0.00012,-0.00012,-0.0,0
0.206011,-0.0,0.00012,-0.00012,-0.0,0
0.20701,-0.0,0.00012,-0.00012,-0.0,0
0.208013,-0.0,0.00012,-0.00012,-0.0,0
0.209013,-0.0,0.00012,-0.00012,-0.0,0
0.210015,-0.0,0.00012,-0.00012,-0.0,0
0.211016,-0.0,0.00012,-0.00012,-0.0,0
0.212012,-0.0,0.00012,-0.00012,-0.0,0
0.213014,-0.0,0.00012,-0.00012,-0.0,0
0.214011,-0.0,0.00012,-0.00012,-0.0,0
0.215013,-0.0,0.00012,-0.00012,-0.0,0
0.216014,-0.0,0.00012,-0.00012,-0.0,0
0.21701,-0.0,0.00012,-0.00012,-0.0,0
0.218012,-0.0,0.00012,-0.00012,-0.0,0
0.219016,-0.0,0.00012,-0.00012,-0.0,0
0.220015,-0.0,0.00012,-0.00012,-0.0,0
0.221014,-0.0,0.00012,-0.00012,-0.0,0
0.222015,-0.0,0.00012,-0.00012,-0.0,0
0.223016,-0.0,0.00012,-0.00012,-0.0,0
0.224015,-0.0,0.00012,-0.00012,-0.0,0
0.225012,-0.0,0.00012,-0.00012,-0.0,0
0.226009,-0.0,0.00012,-0.00012,-0.0,0
0.227012,-0.0,0.00012,-0.00012,-0.0,0
0.228016,-0.0,0.00012,-0.00012,-0.0,0
0.229012,-0.0,0.00012,-0.00012,-0.0,0
0.230014,-0.0,0.00012,-0.00012,-0.0,0
0.231016,-0.0,0.00012,-0.00012,-0.0,0
0.232016,-0.0,0.00012,-0.00012,-0.0,0
0.233017,-0.0,0.00012,-0.00012,-0.0,0
0.234016,-0.0,0.00012,-0.00012,-0.0,0
0.235017,-0.0,0.00012,-0.00012,-0.0,0
0.236017,-0.0,0.00012,-0.00012,-0.0,0
0.237016,-0.0,0.00012,-0.00012,-0.0,0
0.238017,-0.0,0.00012,-0.00012,0.0,0
0.239016,-0.0,0.00012,-0.00012,0.0,0
0.240017,-0.0,0.00012,-0.00012,0.0,0
0.241016,-0.0,0.00012,-0.00012,0.0,0
0.242016,-0.0,0.00012,-0.00012,0.0,0
0.243018,-0.0,0.00012,-0.00012,0.0,0
0.244016,-0.0,0.00012,-0.00012,0.0,0
0.245015,-0.0,0.00012,-0.00012,0.0,0
0.246016,-0.0,0.00012,-0.00012,0.0,0
0.247015,-0.0,0.00012,-0.00012,0.0,0
0.248014,-0.0,0.00012,-0.00012,0.0,0
0.249013,-0.0,0.00012,-0.00012,0.0,0
0.250015,-0.0,0.00012,-0.00012,0.0,0
0.251014,-0.0,0.00012,-0.00012,0.0,0
0.252014,-0.0,0.00012,-0.00012,0.0,0
0.253014,-0.0,0.00012,-0.00012,0.0,0
0.254015,-0.0,0.00012,-0.00012,0.0,0
0.255014,-0.0,0.00012,-0.00012,0.0,0
0.256016,-0.0,0.00012,-0.00012,0.0,0
0.257014,-0.0,0.00012,-0.00012,0.0,0
0.258014,-0.0,0.00012,-0.00012,0.0,0
0.259014,-0.0,0.00012,-0.00012,0.0,0
0.260014,-0.0,0.00012,-0.00012,0.0,0
0.261013,-0.0,0.00012,-0.00012,0.0,0
0.262013,-0.0,0.00012,-0.00012,0.0,0
0.263011,-0.0,0.00012,-0.00012,0.0,0
0.264012,-0.0,0.00012,-0.00012,0.0,0
0.265012,-0.0,0.00012,-0.00012,0.0,0
0.266013,-0.0,0.00012,-0.00012,0.0,0
0.267012,-0.0,0.00012,-0.00012,0.0,0
0.26801,-0.0,0.00012,-0.00012,0.0,0
0.269012,-0.0,0.00012,-0.00012,0.0,0
0.270012,-0.0,0.00012,-0.00012,0.0,0
0.271011,-0.0,0.00012,-0.00012,0.0,0
0.272011,-0.0,0.00012,-0.00012,0.0,0
0.273009,-0.0,0.00012,-0.00012,0.0,0
0.274011,-0.0,0.00012,-0.00012,0.0,0
0.27501,-0.0,0.00012,-0.00012,0.0,0
0.276009,-0.0,0.00012,-0.00012,-0.0,0
0.277008,-0.0,0.00012,-0.00012,-0.0,0
0.278009,-0.0,0.00012,-0.00012,-0.0,0
0.27901,-0.0,0.00012,-0.00012,-0.0,0
0.280011,-0.0,0.00012,-0.00012,-0.0,0
0.281008,-0.0,0.00012,-0.00012,-0.0,0
0.282009,-0.0,0.00012,-0.00012,-0.0,0
0.283008,-0.0,0.00012,-0.00012,-0.0,0
0.28401,-0.0,0.00012,-0.00012,-0.0,0
0.285009,-0.0,0.00012,-0.00012,-0.0,0
0.286009,-0.0,0.00012,-0.00012,-0.0,0
0.287009,-0.0,0.00012,-0.00012,-0.0,0
0.288008,-0.0,0.00012,-0.00012,-0.0,0
0.289004,-0.0,0.00012,-0.00012,-0.0,0
0.290004,-0.0,0.00012,-0.00012,-0.0,0
0.291008,-0.0,0.00012,-0.00012,-0.0,0
0.292006,-0.0,0.00012,-0.00012,-0.0,0
0.293004,-0.0,0.00012,-0.00012,-0.0,0
0.294008,-0.0,0.00012,-0.00012,-0.0,0
0.295007,-0.0,0.00012,-0.00012,-0.0,0
0.296005,-0.0,0.00012,-0.00012,-0.0,0
0.297006,-0.0,0.00012,-0.00012,-0.0,0
0.298007,-0.0,0.00012,-0.00012,-0.0,0
0.299003,-0.0,0.00012,-0.00012,-0.0,0
0.300005,-0.0,0.00012,-0.00012,-0.0,0
0.301005,-0.0,0.00012,-0.00012,-0.0,0
0.302004,-0.0,0.00012,-0.00012,-0.0,0
0.303018,-0.0,0.00012,-0.00012,-0.0,0
0.304016,-0.0,0.00012,-0.00012,-0.0,0
0.305015,-0.0,0.00012,-0.00012,-0.0,0
0.306013,-0.0,0.00012,-0.00012,-0.0,0
0.30702,-0.0,0.00012,-0.00012,-0.0,0
0.308016,-0.0,0.00012,-0.00012,-0.0,0
0.309016,-0.0,0.00012,-0.00012,-0.0,0
0.310015,-0.0,0.00012,-0.00012,-0.0,0
0.311018,-0.0,0.00012,-0.00012,-0.0,0
0.312017,-0.0,0.00012,-0.00012,-0.0,0
0.313014,-0.0,0.00012,-0.00012,-0.0,0
0.314017,-0.0,0.00012,-0.00012,-0.0,0
0.315015,-0.0,0.00012,-0.00012,-0.0,0
0.316014,-0.0,0.00012,-0.00012,-0.0,0
0.317015,-0.0,0.00012,-0.00012,-0.0,0
0.318016,-0.0,0.00012,-0.00012,-0.0,0
0.319017,-0.0,0.00012,-0.00012,-0.0,0
0.320015,-0.0,0.00012,-0.00012,-0.0,0
0.321014,-0.0,0.00012,-0.00012,-0.0,0
0.322013,-0.0,0.00012,-0.00012,-0.0,0
0.323014,-0.0,0.00012,-0.00012,-0.0,0
0.324015,-0.0,0.00012,-0.00012,-0.0,0
0.325016,-0.0,0.00012,-0.00012,-0.0,0
0.326015,-0.0,0.00012,-0.00012,-0.0,0
0.327016,-0.0,0.00012,-0.00012,-0.0,0
0.328016,-0.0,-0.000261,0.000261,-0.0,0
0.329017,-0.0,-0.000261,0.000261,-0.0,0
0.330018,-0.0,-0.000261,0.000261,-0.0,0
0.331016,-0.0,-0.000261,0.000261,-0.0,0
0.332019,-0.0,-0.000261,0.000261,-0.0,0
0.333011,-0.0,-0.000261,0.000261,-0.0,0
0.334016,-0.0,0.00012,-0.00012,-0.0,0
0.335014,-0.0,0.00012,-0.00012,-0.0,0
0.336011,-0.0,0.00012,-0.00012,-0.0,0
0.33701,-0.0,0.00012,-0.00012,-0.0,0
0.338015,-0.0,0.00012,-0.00012,-0.0,0
0.339012,-0.0,0.00012,-0.00012,-0.0,0
0.340015,-0.0,0.00012,-0.00012,-0.0,0
0.341009,-0.0,0.00012,-0.00012,-0.0,0
0.342009,-0.0,0.00012,-0.00012,-0.0,0
0.343011,-0.0,0.00012,-0.00012,-0.0,0
0.344012,-0.0,0.00012,-0.00012,-0.0,0
0.345011,-0.0,0.00012,-0.00012,-0.0,0
0.346009,-0.0,-0.000261,0.000261,-0.0,0
0.347009,-0.0,-0.000261,0.000261,-0.0,0
0.348015,-0.0,-0.000261,0.000261,-0.0,0
0.349016,-0.0,-0.000261,0.000261,-0.0,0
0.350014,-0.0,-0.000261,0.000261,-0.0,0
0.351016,-0.0,-0.000261,0.000261,-0.0,0
0.352017,-0.0,-0.000261,0.000261,-0.0,0
0.353016,-0.0,0.00012,-0.00012,-0.0,0
0.354015,-0.0,0.00012,-0.00012,-0.0,0
0.355014,-0.0,0.00012,-0.00012,-0.0,0
0.356013,-0.0,0.00012,-0.00012,-0.0,0
0.357013,-0.0,0.00012,-0.00012,-0.0,0
0.358006,-0.0,0.00012,-0.00012,-0.0,0
0.359007,-0.0,0.00012,-0.00012,-0.0,0
0.360008,-0.0,0.00012,-0.00012,-0.0,0
0.361011,-0.0,0.00012,-0.00012,-0.0,0
0.362012,-0.0,0.00012,-0.00012,-0.0,0
0.363016,-0.0,0.00012,-0.00012,-0.0,0
0.364015,-0.0,0.00012,-0.00012,-0.0,0
0.365017,-0.0,0.00012,-0.00012,-0.0,0
0.366011,-0.0,0.00012,-0.00012,-0.0,0
0.367011,-0.0,-0.000261,0.000261,-0.0,0
0.368018,-0.0,-0.000261,0.000261,-0.0,0
0.369018,-0.0,-0.000261,0.000261,-0.0,0
0.370012,-0.0,-0.000261,0.000261,-0.0,0
0.371017,-0.0,-0.000261,0.000261,-0.0,0
0.372016,-0.0,0.00012,-0.00012,-0.0,0
0.373011,-0.0,0.00012,-0.00012,-0.0,0
0.374013,-0.0,0.00012,-0.00012,-0.0,0
0.375009,-0.0,0.00012,-0.00012,-0.0,0
0.376008,-0.0,0.00012,-0.00012,-0.0,0
0.377008,-0.0,0.00012,-0.00012,-0.0,0
0.378008,-0.0,0.00012,-0.00012,-0.0,0
0.379008,-0.0,0.00012,-0.00012,-0.0,0
0.380008,-0.0,0.00012,-0.00012,-0.0,0
0.381011,-0.0,0.00012,-0.00012,-0.0,0
0.382015,-0.0,0.00012,-0.00012,-0.0,0
0.383016,-0.0,0.00012,-0.00012,-0.0,0
0.384015,-0.0,0.00012,-0.00012,-0.0,0
0.385016,-0.0,0.00012,-0.00012,-0.0,0
0.386016,-0.0,0.00012,-0.00012,-0.0,0
0.387018,-0.0,-0.000261,0.000261,-0.0,0
0.388018,-0.0,-0.000261,0.000261,-0.0,0
0.389014,-0.0,-0.000261,0.000261,-0.0,0
0.390016,-0.0,-0.000261,0.000261,-0.0,0
0.391017,-0.0,0.00012,-0.00012,-0.0,0
0.392018,-0.0,0.00012,-0.00012,-0.0,0
0.393014,-0.0,0.00012,-0.00012,-0.0,0
0.394015,-0.0,0.00012,-0.00012,-0.0,0
