time_s,ae
0.0,0.004267
0.001,0.004267
0.002,0.004267
0.003,0.004267
0.004,0.004267
0.005,0.004267
0.006,0.003885
0.007,0.003885
0.008,0.003885
0.009,0.003504
0.01,0.003122
0.011,0.002741
0.012,0.002741
0.013,0.002359
0.014,0.001978
0.015,0.001215
0.016,0.001215
0.017,0.000833
0.018,0.000452
0.019,7e-05
0.02,-0.000311
0.021,-0.000311
0.022,-0.000693
0.023,-0.001074
0.024,-0.001455
0.025,-0.001455
0.026,-0.001837
0.027,-0.001837
0.028,-0.001837
0.029,-0.001837
0.03,-0.001837
0.031,-0.001837
0.032,-0.002218
0.033,-0.002218
0.034,-0.002218
0.035,-0.002218
0.036,-0.002218
0.037,-0.002218
0.038,-0.002218
0.039,-0.002218
0.04,-0.002218
0.041,-0.002218
0.042,-0.002218
0.043,-0.002218
0.044,-0.002218
0.045,-0.002218
0.046,-0.001837
0.047,-0.001837
0.048,-0.001837
0.049,-0.001837
0.05,-0.001837
0.051,-0.001837
0.052,-0.001837
0.053,-0.001837
0.054,-0.001455
0.055,-0.001455
0.056,-0.001455
0.057,-0.001074
0.058,-0.000693
0.059,-0.000693
0.06,-0.000311
0.061,-0.000311
0.062,7e-05
0.063,7e-05
0.064,0.000452
0.065,0.000452
0.066,0.000452
0.067,0.000452
0.068,0.000833
0.069,0.000833
0.07,0.000833
0.071,0.000833
0.072,0.000833
0.073,0.000833
0.074,0.000833
0.075,0.000452
0.076,0.000452
0.077,0.000452
0.078,0.000452
0.079,0.000452
0.08,7e-05
0.081,7e-05
0.082,7e-05
0.083,7e-05
0.084,7e-05
0.085,-0.000311
0.086,-0.000311
0.087,-0.000311
0.088,-0.000311
0.089,-0.000311
0.09,-0.000311
0.091,-0.000311
0.092,7e-05
0.093,7e-05
0.094,7e-05
0.095,7e-05
0.096,7e-05
0.097,7e-05
0.098,7e-05
0.099,7e-05
0.1,7e-05
0.101,7e-05
0.102,7e-05
0.103,7e-05
0.104,7e-05
0.105,7e-05
0.106,7e-05
0.107,7e-05
0.108,7e-05
0.109,7e-05
0.11,7e-05
0.111,7e-05
0.112,7e-05
0.113,7e-05
0.114,7e-05
0.115,7e-05
0.116,7e-05
0.117,7e-05
0.118,7e-05
0.119,7e-05
0.12,7e-05
0.121,7e-05
0.122,7e-05
0.123,7e-05
0.124,7e-05
0.125,7e-05
0.126,7e-05
0.127,7e-05
0.128,7e-05
0.129,7e-05
0.13,7e-05
0.131,7e-05
0.132,7e-05
0.133,7e-05
0.134,7e-05
0.135,7e-05
0.136,7e-05
0.137,7e-05
0.138,7e-05
0.139,7e-05
0.14,7e-05
0.141,7e-05
0.142,7e-05
0.143,7e-05
0.144,7e-05
0.145,7e-05
0.146,7e-05
0.147,7e-05
0.148,7e-05
0.149,7e-05
0.15,7e-05
0.151,7e-05
0.152,7e-05
0.153,7e-05
0.154,7e-05
0.155,7e-05
0.156,7e-05
0.157,7e-05
0.158,7e-05
0.159,7e-05
0.16,7e-05
0.161,7e-05
0.162,7e-05
0.163,7e-05
0.164,-0.000311
0.165,-0.000311
0.166,-0.000311
0.167,-0.000311
0.168,-0.000311
0.169,-0.000311
0.17,-0.000311
0.171,7e-05
0.172,7e-05
0.173,7e-05
0.174,7e-05
0.175,7e-05
0.176,7e-05
0.177,7e-05
0.178,7e-05
0.179,7e-05
0.18,-0.000311
0.181,-0.000311
0.182,-0.000311
0.183,-0.000311
0.184,-0.000311
0.185,-0.000311
0.186,-0.000311
0.187,-0.000311
0.188,-0.000311
0.189,-0.000311
0.19,7e-05
0.191,7e-05
0.192,7e-05
0.193,7e-05
0.194,7e-05
0.195,7e-05
0.196,7e-05
0.197,7e-05
0.198,-0.000311
0.199,-0.000311
0.2,-0.000311
0.201,-0.000311
0.202,-0.000311
0.203,-0.000311
0.204,-0.000311
0.205,-0.000311
0.206,-0.000311
0.207,-0.000311
0.208,-0.000311
0.209,7e-05
0.21,7e-05
0.211,7e-05
0.212,7e-05
0.213,7e-05
0.214,7e-05
0.215,7e-05
0.216,-0.000311
0.217,-0.000311
0.218,-0.000311
0.219,-0.000311
0.22,-0.000311
0.221,-0.000311
0.222,-0.000311
0.223,-0.000311
0.224,-0.000311
0.225,-0.000311
0.226,-0.000311
0.227,-0.000311
0.228,7e-05
0.229,7e-05
0.23,7e-05
0.231,7e-05
0.232,7e-05
0.233,7e-05
0.234,7e-05
0.235,-0.000311
0.236,-0.000311
0.237,-0.000311
0.238,-0.000311
0.239,-0.000311
0.24,-0.000311
0.241,-0.000311
0.242,-0.000311
0.243,-0.000311
0.244,-0.000311
0.245,-0.000311
0.246,7e-05
0.247,7e-05
0.248,7e-05
0.249,7e-05
0.25,7e-05
0.251,7e-05
0.252,7e-05
0.253,-0.000311
0.254,-0.000311
0.255,-0.000311
0.256,-0.000311
0.257,-0.000311
0.258,-0.000311
0.259,-0.000311
0.26,-0.000311
0.261,-0.000311
0.262,-0.000311
0.263,-0.000311
0.264,7e-05
0.265,7e-05
0.266,7e-05
0.267,7e-05
0.268,7e-05
0.269,7e-05
0.27,7e-05
0.271,-0.000311
0.272,-0.000311
0.273,-0.000311
0.274,-0.000311
0.275,-0.000311
0.276,-0.000311
0.277,-0.000311
0.278,-0.000311
0.279,-0.000311
0.28,-0.000311
0.281,-0.000311
0.282,7e-05
0.283,7e-05
0.284,7e-05
0.285,7e-05
0.286,7e-05
0.287,7e-05
0.288,7e-05
0.289,7e-05
0.29,-0.000311
0.291,-0.000311
0.292,-0.000311
0.293,-0.000311
0.294,-0.000311
0.295,-0.000311
0.296,-0.000311
0.297,-0.000311
0.298,-0.000311
0.299,-0.000311
0.3,7e-05
0.301,7e-05
0.302,7e-05
0.303,7e-05
0.304,7e-05
0.305,7e-05
0.306,7e-05
0.307,7e-05
0.308,-0.000311
0.309,-0.000311
0.31,-0.000311
0.311,-0.000311
0.312,-0.000311
0.313,-0.000311
0.314,-0.000311
0.315,-0.000311
0.316,-0.000311
0.317,-0.000311
0.318,7e-05
0.319,7e-05
0.32,7e-05
0.321,7e-05
0.322,7e-05
0.323,7e-05
0.324,7e-05
0.325,7e-05
0.326,-0.000311
0.327,-0.000311
0.328,-0.000311
0.329,-0.000311
0.33,-0.000311
0.331,-0.000311
0.332,-0.000311
0.333,-0.000311
0.334,-0.000311
0.335,7e-05
0.336,7e-05
0.337,7e-05
0.338,7e-05
0.339,7e-05
0.34,7e-05
0.341,7e-05
0.342,7e-05
0.343,7e-05
0.344,7e-05
0.345,-0.000311
0.346,-0.000311
0.347,-0.000311
0.348,-0.000311
0.349,-0.000311
0.35,-0.000311
0.351,-0.000311
0.352,-0.000311
0.353,7e-05
0.354,7e-05
0.355,7e-05
0.356,7e-05
0.357,7e-05
0.358,7e-05
0.359,7e-05
0.36,7e-05
0.361,7e-05
0.362,7e-05
0.363,-0.000311
0.364,-0.000311
0.365,-0.000311
0.366,-0.000311
0.367,-0.000311
0.368,-0.000311
0.369,-0.000311
0.37,-0.000311
0.371,7e-05
0.372,7e-05
0.373,7e-05
0.374,7e-05
0.375,7e-05
0.376,7e-05
0.377,7e-05
0.378,7e-05
0.379,7e-05
0.38,7e-05
0.381,7e-05
0.382,-0.000311
0.383,-0.000311
0.384,-0.000311
0.385,-0.000311
0.386,-0.000311
0.387,-0.000311
0.388,-0.000311
0.389,7e-05
0.39,7e-05
0.391,7e-05
0.392,7e-05
0.393,7e-05
0.394,7e-05
0.395,7e-05
0.396,7e-05
0.397,7e-05
0.398,7e-05
0.399,7e-05
0.4,7e-05
0.401,-0.000311
0.402,-0.000311
0.403,-0.000311
0.404,-0.000311
0.405,-0.000311
0.406,-0.000311
0.407,7e-05
0.408,7e-05
0.409,7e-05
0.41,7e-05
0.411,7e-05
